ID,Sentence,Domain,Language_Level,Vocabulary,Grammar_Focus,Difficulty,Task_Type,Response_Expected,Question,Correct_Answer,Distractors
44,You should secure the inspection.,Automotive,Beginner,"['inspection', 'brakes', 'oil']",Modal Verbs,Easy,Listening,Secure the inspection.,What is recommended to do with the inspection?,Secure the inspection.,"['Use a different inspection.', 'Ignore the inspection.']"
45,the supervisor said to inspect the shift.,Hospitality,Intermediate,"['clean', 'service', 'shift']",Reported Speech,Moderate,Writing,Inspect the shift.,What did the supervisor say?,Inspect the shift.,"['Do nothing with the shift.', 'Use a different shift.']"
46,the supervisor said to secure the sales.,Retail,Advanced,"['checkout', 'sales', 'inventory']",Reported Speech,Difficult,Speaking,Secure the sales.,What did the supervisor say?,Secure the sales.,"['Do nothing with the sales.', 'Use a different sales.']"
47,You should secure the harness.,Construction,Intermediate,"['safety', 'tools', 'harness']",Modal Verbs,Moderate,Speaking,Secure the harness.,What is recommended to do with the harness?,Secure the harness.,"['Do nothing with the harness.', 'Ignore the harness.']"
48,the supervisor said to store the reboot.,IT,Intermediate,"['reboot', 'hardware', 'network']",Reported Speech,Moderate,Listening,Store the reboot.,What did the supervisor say?,Store the reboot.,"['Use a different reboot.', 'Ignore the reboot.']"
49,You should store the repair.,Automotive,Advanced,"['brakes', 'oil', 'repair']",Modal Verbs,Difficult,Reading,Store the repair.,What is recommended to do with the repair?,Store the repair.,"['Do nothing with the repair.', 'Ignore the repair.']"
50,You should store the crop.,Agriculture,Beginner,"['crop', 'yield', 'soil']",Modal Verbs,Easy,Reading,Store the crop.,What is recommended to do with the crop?,Store the crop.,"['Ignore the crop.', 'Do nothing with the crop.']"
51,the supervisor said to store the checkout.,Retail,Beginner,"['checkout', 'inventory', 'sales']",Reported Speech,Easy,Writing,Store the checkout.,What did the supervisor say?,Store the checkout.,"['Ignore the checkout.', 'Do nothing with the checkout.']"
52,"If it is damaged, clean the shift.",Hospitality,Advanced,"['clean', 'workstation', 'shift']",Conditional Sentences,Difficult,Speaking,Clean the shift.,What happens if the it is damaged?,Clean the shift.,"['Do nothing with the shift.', 'Ignore the shift.']"
53,Please inspect the system.,IT,Beginner,"['software', 'system', 'network']",Imperative Sentences,Easy,Reading,Inspect the system.,What should you do with the system?,Inspect the system.,"['Ignore the system.', 'Use a different system.']"
54,"If it is damaged, check the software.",IT,Beginner,"['software', 'network', 'system']",Conditional Sentences,Easy,Reading,Check the software.,What happens if the it is damaged?,Check the software.,"['Ignore the software.', 'Use a different software.']"
55,workstation must be store.,Hospitality,Advanced,"['workstation', 'service', 'shift']",Passive Voice,Difficult,Speaking,Store the workstation.,What must be done with the workstation?,Store the workstation.,"['Do nothing with the workstation.', 'Use a different workstation.']"
56,the supervisor said to clean the service.,Hospitality,Intermediate,"['workstation', 'clean', 'service']",Reported Speech,Moderate,Speaking,Clean the service.,What did the supervisor say?,Clean the service.,"['Ignore the service.', 'Use a different service.']"
57,hygiene must be secure.,Hospitality,Intermediate,"['service', 'hygiene', 'shift']",Passive Voice,Moderate,Writing,Secure the hygiene.,What must be done with the hygiene?,Secure the hygiene.,"['Ignore the hygiene.', 'Do nothing with the hygiene.']"
58,customer must be inspect.,Retail,Advanced,"['customer', 'inventory', 'checkout']",Passive Voice,Difficult,Speaking,Inspect the customer.,What must be done with the customer?,Inspect the customer.,"['Ignore the customer.', 'Do nothing with the customer.']"
59,You should secure the crop.,Agriculture,Intermediate,"['yield', 'soil', 'crop']",Modal Verbs,Moderate,Writing,Secure the crop.,What is recommended to do with the crop?,Secure the crop.,"['Do nothing with the crop.', 'Ignore the crop.']"
60,You should secure the yield.,Agriculture,Advanced,"['harvest', 'yield', 'soil']",Modal Verbs,Difficult,Writing,Secure the yield.,What is recommended to do with the yield?,Secure the yield.,"['Do nothing with the yield.', 'Use a different yield.']"
61,the supervisor said to store the network.,IT,Intermediate,"['network', 'software', 'hardware']",Reported Speech,Moderate,Reading,Store the network.,What did the supervisor say?,Store the network.,"['Use a different network.', 'Ignore the network.']"
62,yield must be secure.,Agriculture,Advanced,"['yield', 'harvest', 'soil']",Passive Voice,Difficult,Writing,Secure the yield.,What must be done with the yield?,Secure the yield.,"['Ignore the yield.', 'Use a different yield.']"
63,Please inspect the nurse.,Healthcare,Intermediate,"['stored', 'nurse', 'medication']",Imperative Sentences,Moderate,Reading,Inspect the nurse.,What should you do with the nurse?,Inspect the nurse.,"['Do nothing with the nurse.', 'Ignore the nurse.']"
64,brakes must be store.,Automotive,Advanced,"['engine', 'repair', 'brakes']",Passive Voice,Difficult,Listening,Store the brakes.,What must be done with the brakes?,Store the brakes.,"['Ignore the brakes.', 'Do nothing with the brakes.']"
65,Please store the harvest.,Agriculture,Beginner,"['soil', 'harvest', 'yield']",Imperative Sentences,Easy,Writing,Store the harvest.,What should you do with the harvest?,Store the harvest.,"['Do nothing with the harvest.', 'Ignore the harvest.']"
66,customer must be clean.,Retail,Beginner,"['inventory', 'product', 'customer']",Passive Voice,Easy,Writing,Clean the customer.,What must be done with the customer?,Clean the customer.,"['Do nothing with the customer.', 'Use a different customer.']"
67,Please clean the tools.,Construction,Intermediate,"['harness', 'tools', 'secured']",Imperative Sentences,Moderate,Reading,Clean the tools.,What should you do with the tools?,Clean the tools.,"['Do nothing with the tools.', 'Ignore the tools.']"
68,Please secure the customer.,Retail,Advanced,"['customer', 'product', 'checkout']",Imperative Sentences,Difficult,Speaking,Secure the customer.,What should you do with the customer?,Secure the customer.,"['Use a different customer.', 'Do nothing with the customer.']"
69,You should clean the shift.,Hospitality,Intermediate,"['shift', 'clean', 'hygiene']",Modal Verbs,Moderate,Speaking,Clean the shift.,What is recommended to do with the shift?,Clean the shift.,"['Use a different shift.', 'Ignore the shift.']"
70,"If it is damaged, inspect the oil.",Automotive,Advanced,"['repair', 'oil', 'inspection']",Conditional Sentences,Difficult,Reading,Inspect the oil.,What happens if the it is damaged?,Inspect the oil.,"['Do nothing with the oil.', 'Ignore the oil.']"
71,"If it is damaged, check the shift.",Hospitality,Intermediate,"['service', 'shift', 'hygiene']",Conditional Sentences,Moderate,Speaking,Check the shift.,What happens if the it is damaged?,Check the shift.,"['Do nothing with the shift.', 'Ignore the shift.']"
72,sales must be inspect.,Retail,Intermediate,"['checkout', 'sales', 'inventory']",Passive Voice,Moderate,Writing,Inspect the sales.,What must be done with the sales?,Inspect the sales.,"['Do nothing with the sales.', 'Ignore the sales.']"
73,"If it is damaged, store the inventory.",Retail,Advanced,"['customer', 'inventory', 'product']",Conditional Sentences,Difficult,Writing,Store the inventory.,What happens if the it is damaged?,Store the inventory.,"['Ignore the inventory.', 'Do nothing with the inventory.']"
74,the supervisor said to clean the stored.,Healthcare,Beginner,"['stored', 'nurse', 'medication']",Reported Speech,Easy,Reading,Clean the stored.,What did the supervisor say?,Clean the stored.,"['Do nothing with the stored.', 'Use a different stored.']"
75,safety must be inspect.,Construction,Intermediate,"['secured', 'safety', 'tools']",Passive Voice,Moderate,Speaking,Inspect the safety.,What must be done with the safety?,Inspect the safety.,"['Do nothing with the safety.', 'Use a different safety.']"
76,safety must be inspect.,Construction,Intermediate,"['equipment', 'tools', 'safety']",Passive Voice,Moderate,Speaking,Inspect the safety.,What must be done with the safety?,Inspect the safety.,"['Use a different safety.', 'Do nothing with the safety.']"
77,You should clean the tools.,Construction,Intermediate,"['safety', 'harness', 'tools']",Modal Verbs,Moderate,Speaking,Clean the tools.,What is recommended to do with the tools?,Clean the tools.,"['Use a different tools.', 'Ignore the tools.']"
78,Please store the irrigation.,Agriculture,Intermediate,"['soil', 'irrigation', 'crop']",Imperative Sentences,Moderate,Writing,Store the irrigation.,What should you do with the irrigation?,Store the irrigation.,"['Ignore the irrigation.', 'Do nothing with the irrigation.']"
79,the supervisor said to store the yield.,Agriculture,Advanced,"['irrigation', 'yield', 'soil']",Reported Speech,Difficult,Writing,Store the yield.,What did the supervisor say?,Store the yield.,"['Use a different yield.', 'Do nothing with the yield.']"
80,Please secure the hygiene.,Hospitality,Intermediate,"['clean', 'shift', 'hygiene']",Imperative Sentences,Moderate,Speaking,Secure the hygiene.,What should you do with the hygiene?,Secure the hygiene.,"['Do nothing with the hygiene.', 'Ignore the hygiene.']"
81,"If it is damaged, check the engine.",Automotive,Intermediate,"['brakes', 'repair', 'engine']",Conditional Sentences,Moderate,Reading,Check the engine.,What happens if the it is damaged?,Check the engine.,"['Do nothing with the engine.', 'Ignore the engine.']"
82,You should store the inspection.,Automotive,Advanced,"['inspection', 'repair', 'brakes']",Modal Verbs,Difficult,Reading,Store the inspection.,What is recommended to do with the inspection?,Store the inspection.,"['Do nothing with the inspection.', 'Use a different inspection.']"
83,repair must be store.,Automotive,Advanced,"['engine', 'repair', 'oil']",Passive Voice,Difficult,Listening,Store the repair.,What must be done with the repair?,Store the repair.,"['Ignore the repair.', 'Use a different repair.']"
84,You should clean the reboot.,IT,Intermediate,"['network', 'software', 'reboot']",Modal Verbs,Moderate,Reading,Clean the reboot.,What is recommended to do with the reboot?,Clean the reboot.,"['Use a different reboot.', 'Ignore the reboot.']"
85,the supervisor said to check the workstation.,Hospitality,Advanced,"['workstation', 'shift', 'clean']",Reported Speech,Difficult,Speaking,Check the workstation.,What did the supervisor say?,Check the workstation.,"['Ignore the workstation.', 'Do nothing with the workstation.']"
86,Please inspect the engine.,Automotive,Beginner,"['repair', 'engine', 'oil']",Imperative Sentences,Easy,Reading,Inspect the engine.,What should you do with the engine?,Inspect the engine.,"['Use a different engine.', 'Ignore the engine.']"
87,Please check the software.,IT,Advanced,"['reboot', 'software', 'system']",Imperative Sentences,Difficult,Listening,Check the software.,What should you do with the software?,Check the software.,"['Use a different software.', 'Ignore the software.']"
88,software must be secure.,IT,Advanced,"['system', 'software', 'network']",Passive Voice,Difficult,Reading,Secure the software.,What must be done with the software?,Secure the software.,"['Ignore the software.', 'Do nothing with the software.']"
89,sales must be store.,Retail,Beginner,"['sales', 'product', 'checkout']",Passive Voice,Easy,Writing,Store the sales.,What must be done with the sales?,Store the sales.,"['Ignore the sales.', 'Do nothing with the sales.']"
90,the supervisor said to clean the harvest.,Agriculture,Advanced,"['harvest', 'soil', 'crop']",Reported Speech,Difficult,Reading,Clean the harvest.,What did the supervisor say?,Clean the harvest.,"['Use a different harvest.', 'Ignore the harvest.']"
91,the supervisor said to check the software.,IT,Advanced,"['software', 'system', 'hardware']",Reported Speech,Difficult,Listening,Check the software.,What did the supervisor say?,Check the software.,"['Do nothing with the software.', 'Use a different software.']"
92,"If it is damaged, inspect the patient.",Healthcare,Beginner,"['nurse', 'stored', 'patient']",Conditional Sentences,Easy,Reading,Inspect the patient.,What happens if the it is damaged?,Inspect the patient.,"['Ignore the patient.', 'Use a different patient.']"
93,You should check the inspection.,Automotive,Advanced,"['brakes', 'repair', 'inspection']",Modal Verbs,Difficult,Listening,Check the inspection.,What is recommended to do with the inspection?,Check the inspection.,"['Use a different inspection.', 'Do nothing with the inspection.']"
94,"If it is damaged, secure the product.",Retail,Beginner,"['product', 'checkout', 'sales']",Conditional Sentences,Easy,Speaking,Secure the product.,What happens if the it is damaged?,Secure the product.,"['Ignore the product.', 'Use a different product.']"
95,temperature must be clean.,Healthcare,Beginner,"['medication', 'temperature', 'stored']",Passive Voice,Easy,Reading,Clean the temperature.,What must be done with the temperature?,Clean the temperature.,"['Do nothing with the temperature.', 'Use a different temperature.']"
96,Please clean the sales.,Retail,Intermediate,"['sales', 'inventory', 'customer']",Imperative Sentences,Moderate,Speaking,Clean the sales.,What should you do with the sales?,Clean the sales.,"['Use a different sales.', 'Ignore the sales.']"
97,the supervisor said to inspect the soil.,Agriculture,Advanced,"['yield', 'crop', 'soil']",Reported Speech,Difficult,Reading,Inspect the soil.,What did the supervisor say?,Inspect the soil.,"['Use a different soil.', 'Ignore the soil.']"
98,engine must be clean.,Automotive,Beginner,"['engine', 'brakes', 'oil']",Passive Voice,Easy,Listening,Clean the engine.,What must be done with the engine?,Clean the engine.,"['Use a different engine.', 'Do nothing with the engine.']"
99,You should secure the oil.,Automotive,Intermediate,"['engine', 'repair', 'oil']",Modal Verbs,Moderate,Listening,Secure the oil.,What is recommended to do with the oil?,Secure the oil.,"['Ignore the oil.', 'Do nothing with the oil.']"
100,safety must be store.,Construction,Beginner,"['secured', 'harness', 'safety']",Passive Voice,Easy,Speaking,Store the safety.,What must be done with the safety?,Store the safety.,"['Do nothing with the safety.', 'Use a different safety.']"
101,You should store the repair.,Automotive,Advanced,"['repair', 'engine', 'inspection']",Modal Verbs,Difficult,Listening,Store the repair.,What is recommended to do with the repair?,Store the repair.,"['Use a different repair.', 'Ignore the repair.']"
102,Please check the soil.,Agriculture,Advanced,"['soil', 'harvest', 'yield']",Imperative Sentences,Difficult,Reading,Check the soil.,What should you do with the soil?,Check the soil.,"['Do nothing with the soil.', 'Use a different soil.']"
103,Please inspect the nurse.,Healthcare,Beginner,"['nurse', 'temperature', 'stored']",Imperative Sentences,Easy,Listening,Inspect the nurse.,What should you do with the nurse?,Inspect the nurse.,"['Ignore the nurse.', 'Do nothing with the nurse.']"
104,You should clean the secured.,Construction,Advanced,"['tools', 'harness', 'secured']",Modal Verbs,Difficult,Reading,Clean the secured.,What is recommended to do with the secured?,Clean the secured.,"['Ignore the secured.', 'Do nothing with the secured.']"
105,the supervisor said to store the equipment.,Construction,Intermediate,"['equipment', 'secured', 'tools']",Reported Speech,Moderate,Reading,Store the equipment.,What did the supervisor say?,Store the equipment.,"['Do nothing with the equipment.', 'Ignore the equipment.']"
106,You should clean the software.,IT,Intermediate,"['software', 'network', 'system']",Modal Verbs,Moderate,Listening,Clean the software.,What is recommended to do with the software?,Clean the software.,"['Use a different software.', 'Do nothing with the software.']"
107,harness must be clean.,Construction,Intermediate,"['secured', 'harness', 'equipment']",Passive Voice,Moderate,Speaking,Clean the harness.,What must be done with the harness?,Clean the harness.,"['Do nothing with the harness.', 'Use a different harness.']"
108,"If it is damaged, check the repair.",Automotive,Advanced,"['inspection', 'repair', 'engine']",Conditional Sentences,Difficult,Reading,Check the repair.,What happens if the it is damaged?,Check the repair.,"['Ignore the repair.', 'Do nothing with the repair.']"
109,software must be clean.,IT,Intermediate,"['software', 'system', 'hardware']",Passive Voice,Moderate,Reading,Clean the software.,What must be done with the software?,Clean the software.,"['Use a different software.', 'Do nothing with the software.']"
110,You should check the nurse.,Healthcare,Beginner,"['medication', 'nurse', 'temperature']",Modal Verbs,Easy,Listening,Check the nurse.,What is recommended to do with the nurse?,Check the nurse.,"['Ignore the nurse.', 'Use a different nurse.']"
111,the supervisor said to secure the equipment.,Construction,Intermediate,"['equipment', 'tools', 'safety']",Reported Speech,Moderate,Reading,Secure the equipment.,What did the supervisor say?,Secure the equipment.,"['Use a different equipment.', 'Do nothing with the equipment.']"
112,Please inspect the temperature.,Healthcare,Beginner,"['temperature', 'medication', 'nurse']",Imperative Sentences,Easy,Listening,Inspect the temperature.,What should you do with the temperature?,Inspect the temperature.,"['Ignore the temperature.', 'Use a different temperature.']"
113,Please inspect the shift.,Hospitality,Advanced,"['shift', 'hygiene', 'clean']",Imperative Sentences,Difficult,Writing,Inspect the shift.,What should you do with the shift?,Inspect the shift.,"['Do nothing with the shift.', 'Ignore the shift.']"
114,the supervisor said to clean the tools.,Construction,Advanced,"['tools', 'secured', 'equipment']",Reported Speech,Difficult,Reading,Clean the tools.,What did the supervisor say?,Clean the tools.,"['Ignore the tools.', 'Use a different tools.']"
115,Please inspect the network.,IT,Beginner,"['network', 'reboot', 'software']",Imperative Sentences,Easy,Reading,Inspect the network.,What should you do with the network?,Inspect the network.,"['Do nothing with the network.', 'Ignore the network.']"
116,You should check the irrigation.,Agriculture,Beginner,"['crop', 'irrigation', 'harvest']",Modal Verbs,Easy,Writing,Check the irrigation.,What is recommended to do with the irrigation?,Check the irrigation.,"['Ignore the irrigation.', 'Do nothing with the irrigation.']"
117,Please clean the stored.,Healthcare,Intermediate,"['stored', 'nurse', 'patient']",Imperative Sentences,Moderate,Listening,Clean the stored.,What should you do with the stored?,Clean the stored.,"['Use a different stored.', 'Ignore the stored.']"
118,the supervisor said to inspect the patient.,Healthcare,Intermediate,"['temperature', 'medication', 'patient']",Reported Speech,Moderate,Reading,Inspect the patient.,What did the supervisor say?,Inspect the patient.,"['Use a different patient.', 'Ignore the patient.']"
119,the supervisor said to check the brakes.,Automotive,Beginner,"['oil', 'brakes', 'engine']",Reported Speech,Easy,Listening,Check the brakes.,What did the supervisor say?,Check the brakes.,"['Ignore the brakes.', 'Do nothing with the brakes.']"
120,repair must be inspect.,Automotive,Advanced,"['oil', 'repair', 'inspection']",Passive Voice,Difficult,Listening,Inspect the repair.,What must be done with the repair?,Inspect the repair.,"['Do nothing with the repair.', 'Ignore the repair.']"
121,You should store the yield.,Agriculture,Advanced,"['irrigation', 'crop', 'yield']",Modal Verbs,Difficult,Writing,Store the yield.,What is recommended to do with the yield?,Store the yield.,"['Ignore the yield.', 'Use a different yield.']"
122,the supervisor said to clean the secured.,Construction,Intermediate,"['safety', 'tools', 'secured']",Reported Speech,Moderate,Speaking,Clean the secured.,What did the supervisor say?,Clean the secured.,"['Do nothing with the secured.', 'Ignore the secured.']"
123,repair must be secure.,Automotive,Beginner,"['repair', 'inspection', 'brakes']",Passive Voice,Easy,Listening,Secure the repair.,What must be done with the repair?,Secure the repair.,"['Use a different repair.', 'Ignore the repair.']"
124,Please secure the repair.,Automotive,Beginner,"['repair', 'brakes', 'oil']",Imperative Sentences,Easy,Listening,Secure the repair.,What should you do with the repair?,Secure the repair.,"['Do nothing with the repair.', 'Use a different repair.']"
125,brakes must be inspect.,Automotive,Intermediate,"['oil', 'inspection', 'brakes']",Passive Voice,Moderate,Reading,Inspect the brakes.,What must be done with the brakes?,Inspect the brakes.,"['Do nothing with the brakes.', 'Use a different brakes.']"
126,the supervisor said to check the tools.,Construction,Beginner,"['tools', 'harness', 'secured']",Reported Speech,Easy,Speaking,Check the tools.,What did the supervisor say?,Check the tools.,"['Do nothing with the tools.', 'Use a different tools.']"
